SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-29-2021,Single Family Residential,381 Herworth Ct,Chesterfield,MO,63005,529900,4,3.5,Forest Hills Club Estates,4443,55321,1979,,119,46,Sold,,,https://www.redfin.com/MO/Chesterfield/381-Herworth-Ct-63005/home/93507637,MARIS,21030718,N,Y,38.6159981,-90.5985309
PAST SALE,May-7-2019,Single Family Residential,16726 Benton Taylor,Chesterfield,MO,63005,532500,4,3.5,Estates At Baxter Pointe,4551,11326,1999,,117,,Sold,,,https://www.redfin.com/MO/Chesterfield/16726-Benton-Taylor-Dr-63005/home/93624980,MARIS,19033583,N,Y,38.6567591,-90.5838567
PAST SALE,December-1-2020,Single Family Residential,208 Vonbehren Dr,Chesterfield,MO,63005,489900,4,3.5,Chesterfield Farms One,3708,7405,2007,,132,38,Sold,,,https://www.redfin.com/MO/Chesterfield/208-Vonbehren-Dr-63005/home/93476504,MARIS,20064080,N,Y,38.661871,-90.5843831
PAST SALE,September-14-2021,Single Family Residential,2485 Peppermill Rdg,Wildwood,MO,63005,550000,4,3.5,Brentmoor Place 1,3116,20909,1980,,177,,Sold,,,https://www.redfin.com/MO/Wildwood/2485-Peppermill-Ridge-Dr-63005/home/93507131,MARIS,21047912,N,Y,38.6155585,-90.6083159
PAST SALE,April-17-2023,Single Family Residential,16443 Sundance Creek Ct,Wildwood,MO,63005,574900,4,3.0,Valley View 1,3365,31363,1979,,171,21,Sold,,,https://www.redfin.com/MO/Wildwood/16443-Sundance-Creek-Ct-63005/home/93507048,MARIS,23012524,N,Y,38.6119202,-90.602526
PAST SALE,February-25-2021,Single Family Residential,17652 Westhampton Woods,Wildwood,MO,63005,545000,4,4.0,Westhampton Woods 2,3525,20909,1997,,155,18,Sold,,,https://www.redfin.com/MO/Wildwood/17652-Westhampton-Woods-Dr-63005/home/93496101,MARIS,20088668,N,Y,38.6230703,-90.6481653
PAST SALE,July-9-2020,Single Family Residential,1143 Wildhorse Mdws,Chesterfield,MO,63005,535000,4,3.5,Spring Hill Bluffs,3566,16117,2001,,150,34,Sold,,,https://www.redfin.com/MO/Chesterfield/1143-Wildhorse-Meadows-Dr-63005/home/93624691,MARIS,20035953,N,Y,38.6595229,-90.6153464
PAST SALE,September-6-2022,Single Family Residential,16645 Chesterfield Manor Dr,Chesterfield,MO,63005,525000,3,2.0,Chesterfield Farms One,2190,8712,1994,,240,41,Sold,,,https://www.redfin.com/MO/Chesterfield/16645-Chesterfield-Manor-Dr-63005/home/93476496,MARIS,22036520,N,Y,38.6604249,-90.5843286
PAST SALE,August-16-2021,Condo/Co-op,16809 Chesterfield Blfs,Chesterfield,MO,63005,534900,4,3.5,Villas At Chesterfield Bluffs Two,2291,2614,1997,,233,485,Sold,,,https://www.redfin.com/MO/Chesterfield/16809-Chesterfield-Bluffs-Cir-63005/home/93467398,MARIS,21041748,N,Y,38.664116,-90.5819812
PAST SALE,May-14-2019,Single Family Residential,17663 Westhampton Woods Dr,Wildwood,MO,63005,569900,5,5.5,Westhampton Woods 2,3512,22216,1998,,162,,Sold,,,https://www.redfin.com/MO/Wildwood/17663-Westhampton-Woods-Dr-63005/home/93496187,MARIS,19037723,N,Y,38.6235249,-90.6474616
PAST SALE,August-19-2019,Single Family Residential,16706 Chesterfield Mnr,Chesterfield,MO,63005,510000,4,3.0,Chesterfield Farms One,3577,9148,1994,,143,,Sold,,,https://www.redfin.com/MO/Chesterfield/16706-Chesterfield-Manor-Dr-63005/home/93476614,MARIS,19062324,N,Y,38.6599954,-90.587241
PAST SALE,December-27-2019,Single Family Residential,109 Chippenham Ln,Chesterfield,MO,63305,557500,3,3.5,Forest Hills Club Estates Area,2941,39204,1974,,190,,Sold,,,https://www.redfin.com/MO/Chesterfield/109-Chippenham-Ln-63005/home/93506218,MARIS,19090561,N,Y,38.618851,-90.5935745
PAST SALE,July-10-2020,Single Family Residential,16921 Crystal Springs Dr,Chesterfield,MO,63005,474900,4,3.5,Chesterfield Farms Two,2872,9148,1995,,165,39,Sold,,,https://www.redfin.com/MO/Chesterfield/16921-Crystal-Springs-Dr-63005/home/93476481,MARIS,20033865,N,Y,38.6609297,-90.5935287
PAST SALE,November-18-2021,Condo/Co-op,609 Stonebrook Ct,Chesterfield,MO,63005,519500,3,2.5,Stonehill Village,2668,6970,2007,,195,475,Sold,,,https://www.redfin.com/MO/Chesterfield/609-Stonebrook-Ct-63005/home/93626322,MARIS,21072492,N,Y,38.653433,-90.5781096
PAST SALE,December-15-2021,Single Family Residential,17621 Orrville Rd,Wildwood,MO,63005,500000,4,4.0,Stonehenge Manor 1,3332,131551,1986,,150,,Sold,,,https://www.redfin.com/MO/Wildwood/17621-Orrville-Rd-63005/home/93496394,MARIS,21079919,N,Y,38.6263691,-90.651832
PAST SALE,June-26-2020,Single Family Residential,12 Greenbank,Chesterfield,MO,63005,548000,3,3.0,Forest Hills Club Estates Area 1,2514,54450,1967,,218,,Sold,,,https://www.redfin.com/MO/Chesterfield/12-Greenbank-Dr-63005/home/79146758,MARIS,20033800,N,Y,38.6170669,-90.5856789
PAST SALE,March-11-2021,Single Family Residential,31 Crown Manor Dr,Clarkson Valley,MO,63005,500000,4,3.5,Forest Hills Club Estates,2596,50965,1975,,193,42,Sold,,,https://www.redfin.com/MO/Chesterfield/31-Crown-Manor-Dr-63005/home/93495719,MARIS,21008808,N,Y,38.6212956,-90.596974
PAST SALE,May-31-2022,Condo/Co-op,16781 Chesterfield Bluffs Cir,Chesterfield,MO,63005,525000,3,3.5,Villas At Chesterfield Bluffs Two,2901,2178,1997,,181,505,Sold,,,https://www.redfin.com/MO/Chesterfield/16781-Chesterfield-Bluffs-Cir-63005/home/93467406,MARIS,21083316,N,Y,38.6639164,-90.5809811
PAST SALE,August-21-2020,Single Family Residential,17112 Westridge Meadows Dr,Chesterfield,MO,63005,509900,4,4.5,Somerset,4100,12197,1994,,124,21,Sold,,,https://www.redfin.com/MO/Chesterfield/17112-Westridge-Meadows-Dr-63005/home/93476879,MARIS,20029526,N,Y,38.6570416,-90.6092422
PAST SALE,July-10-2020,Single Family Residential,1340 Chesterfield Estates Dr,Chesterfield,MO,63005,499900,4,3.5,Chesterfield Estates One,4052,16988,1989,,123,27,Sold,,,https://www.redfin.com/MO/Chesterfield/1340-Chesterfield-Estates-Dr-63005/home/93476770,MARIS,20040296,N,Y,38.6527907,-90.6024705
PAST SALE,November-21-2019,Single Family Residential,250 Lansbrooke Dr,Chesterfield,MO,63005,485000,4,3.5,Chesterfield Farms,3612,8712,1995,,134,39,Sold,,,https://www.redfin.com/MO/Chesterfield/250-Lansbrooke-Dr-63005/home/93476546,MARIS,19072492,N,Y,38.6608689,-90.5901132
PAST SALE,March-16-2023,Single Family Residential,16824 Chesterfield Bluffs Cir,Chesterfield,MO,63005,498900,3,2.5,Villas At Chesterfield Bluffs,3051,2230,1997,,164,540,Sold,,,https://www.redfin.com/MO/Chesterfield/16824-Chesterfield-Bluffs-Cir-63005/home/93467415,MARIS,23007194,N,Y,38.663602,-90.582881
PAST SALE,October-1-2021,Single Family Residential,1444 Wellington View Ln,Wildwood,MO,63005,575000,4,3.0,Westhampton Woods One,4674,23522,1995,,123,18,Sold,,,https://www.redfin.com/MO/Wildwood/1444-Wellington-View-Ln-63005/home/62757501,MARIS,21057064,N,Y,38.6180344,-90.6510357
PAST SALE,September-16-2021,Single Family Residential,17789 Westhampton Woods Dr,Wildwood,MO,63005,550000,4,3.5,Westhampton Woods,4410,20038,2001,,125,,Sold,,,https://www.redfin.com/MO/Wildwood/17789-Westhampton-Woods-Dr-63005/home/93496158,MARIS,21039286,N,Y,38.6213561,-90.6469061
PAST SALE,August-26-2021,Condo/Co-op,16865 Chesterfield Bluffs Cir,Chesterfield,MO,63005,539900,4,3.5,Villas at Chesterfield Bluffs,3559,2614,1997,,152,480,Sold,,,https://www.redfin.com/MO/Chesterfield/16865-Chesterfield-Bluffs-Cir-63005/home/93467431,MARIS,21049841,N,Y,38.6638306,-90.585315
PAST SALE,June-17-2021,Single Family Residential,246 Cheval Square Dr,Chesterfield,MO,63005,486500,4,2.5,Chesterfield Farms One,3020,7405,1994,,161,41,Sold,,,https://www.redfin.com/MO/Chesterfield/246-Cheval-Square-Dr-63005/home/93476521,MARIS,21003735,N,Y,38.6612994,-90.5851831
PAST SALE,July-12-2022,Condo/Co-op,326 Shetland Valley Ct,Chesterfield,MO,63005,460000,4,3.5,Baxter Pointe Villas Three,3426,6534,1999,,134,330,Sold,,,https://www.redfin.com/MO/Chesterfield/326-Shetland-Valley-Ct-63005/home/93626796,MARIS,22008466,N,Y,38.6579774,-90.5805192
PAST SALE,March-20-2019,Single Family Residential,16325 Valley Oaks Estates Ct,Wildwood,MO,63005,475000,4,2.5,Valley Oaks Estates,3328,17860,1997,,143,42,Sold,,,https://www.redfin.com/MO/Wildwood/16325-Valley-Oaks-Estates-Ct-63005/home/93507068,MARIS,19001291,N,Y,38.6138688,-90.6021746
PAST SALE,December-8-2021,Single Family Residential,214 Cheval Square Dr,Chesterfield,MO,63005,499500,4,3.5,Chesterfield Farms,3072,7405,1993,,163,41,Sold,,,https://www.redfin.com/MO/Chesterfield/214-Cheval-Square-Dr-63005/home/93476517,MARIS,21068701,N,Y,38.6620711,-90.5855495
PAST SALE,May-24-2023,Condo/Co-op,831 Stone Meadow Dr,Chesterfield,MO,63005,519000,2,2.5,Stonehill Village B,2712,3920,2000,,191,425,Sold,,,https://www.redfin.com/MO/Chesterfield/831-Stone-Meadow-Dr-63005/home/93626338,MARIS,23022400,N,Y,38.6524853,-90.5786604
PAST SALE,August-3-2020,Single Family Residential,1855 Chamfers Farm Ct,Chesterfield,MO,63005,565000,4,3.5,Chesterfield Meadow One,3252,38768,1979,,174,29,Sold,,,https://www.redfin.com/MO/Chesterfield/1855-Chamfers-Farm-Ct-63005/home/62747276,MARIS,20044022,N,Y,38.6395001,-90.577563
PAST SALE,April-21-2021,Single Family Residential,1601 Baxter Forest Ridge Ct,Chesterfield,MO,63005,535000,4,3.5,Forest Two The,2620,16117,1987,,204,42,Sold,,,https://www.redfin.com/MO/Chesterfield/1601-Baxter-Forest-Ridge-Ct-63005/home/93484987,MARIS,21014700,N,Y,38.6435969,-90.5753866
PAST SALE,March-8-2023,Single Family Residential,16591 Baxter Forest Ridge Dr,Chesterfield,MO,63005,524900,4,3.5,Forest Two The,4712,14375,1988,,111,56,Sold,,,https://www.redfin.com/MO/Chesterfield/16591-Baxter-Forest-Ridge-Dr-63005/home/93485002,MARIS,22077415,N,Y,38.644809,-90.5768051
PAST SALE,April-12-2023,Single Family Residential,16314 Peppermill Dr,Wildwood,MO,63005,510000,4,2.5,Brentmoor Place,2786,15246,1983,,183,33,Sold,,,https://www.redfin.com/MO/Wildwood/16314-Peppermill-Dr-63005/home/62741646,MARIS,23006486,N,Y,38.6126007,-90.6096479
PAST SALE,March-10-2020,Single Family Residential,16706 Benton Taylor Dr,Chesterfield,MO,63005,559900,4,2.5,Estates At Baxter Pointe The,4182,10890,2000,,134,42,Sold,,,https://www.redfin.com/MO/Chesterfield/16706-Benton-Taylor-Dr-63005/home/93626740,MARIS,20007953,N,Y,38.6556704,-90.5837561
PAST SALE,September-16-2021,Single Family Residential,17843 Westhampton Woods Dr,Wildwood,MO,63005,549000,4,4.5,Westhampton Woods 2,3456,20473,2000,,159,,Sold,,,https://www.redfin.com/MO/Wildwood/17843-Westhampton-Woods-Dr-63005/home/93507426,MARIS,21057431,N,Y,38.6207668,-90.6497208
PAST SALE,December-15-2020,Single Family Residential,1262 Somerset Fld,Chesterfield,MO,63005,525000,4,3.5,Somerset One,3344,13939,1994,,157,29,Sold,,,https://www.redfin.com/MO/Chesterfield/1262-Somerset-Field-Dr-63005/home/93476908,MARIS,20075144,N,Y,38.6578909,-90.6102214
PAST SALE,December-21-2020,Single Family Residential,1246 Bluffview Ridge Dr,Chesterfield,MO,63005,550000,4,3.5,The Bluffs Of Wildhorse,3781,13939,1994,,145,,Sold,,,https://www.redfin.com/MO/Chesterfield/1246-Bluffview-Ridge-Dr-63005/home/62730629,MARIS,20080636,N,Y,38.6598109,-90.6118943
PAST SALE,September-22-2022,Single Family Residential,16851 Chesterfield Bluffs Cir,Chesterfield,MO,63005,525000,3,2.5,Villas At Chesterfield Bluffs One,2430,2614,1996,,216,505,Sold,,,https://www.redfin.com/MO/Chesterfield/16851-Chesterfield-Bluffs-Cir-63005/home/93467336,MARIS,22050495,N,Y,38.6637759,-90.5844956
PAST SALE,November-2-2020,Single Family Residential,1433 Chesterfield Estates Dr,Chesterfield,MO,63005,489000,4,2.5,Chesterfield Estates Three,2912,16553,1992,,168,24,Sold,,,https://www.redfin.com/MO/Chesterfield/1433-Chesterfield-Estates-Dr-63005/home/93476821,MARIS,20069520,N,Y,38.6506415,-90.60223
PAST SALE,December-22-2021,Single Family Residential,1302 Coach View Ln,Wildwood,MO,63005,549000,5,3.5,Westhampton Woods One,5042,24829,1995,,109,,Sold,,,https://www.redfin.com/MO/Wildwood/1302-Coach-View-Ln-63005/home/93496381,MARIS,21073880,N,Y,38.6215467,-90.6533414
PAST SALE,June-3-2020,Single Family Residential,17120 Hillcrest Meadow Dr,Chesterfield,MO,63005,550000,4,3.5,Somerset Two,4325,12197,1995,,127,,Sold,,,https://www.redfin.com/MO/Chesterfield/17120-Hillcrest-Meadow-Dr-63005/home/93476952,MARIS,20026558,N,Y,38.6595721,-90.6098514
PAST SALE,July-7-2022,Single Family Residential,15 Peppermill Ct,Wildwood,MO,63005,435000,4,3.0,Brentmoor Place 1,3500,20038,1980,,124,33,Sold,,,https://www.redfin.com/MO/Wildwood/15-Peppermill-Ct-63005/home/77441476,MARIS,22035240,N,Y,38.6130336,-90.6063186
PAST SALE,July-23-2021,Condo/Co-op,437 Shetland Valley Ct,Chesterfield,MO,63005,549000,3,3.5,Baxter Pointe Villas One,3441,8712,1999,,160,330,Sold,,,https://www.redfin.com/MO/Chesterfield/437-Shetland-Valley-Ct-63005/home/93626430,MARIS,21040552,N,Y,38.654763,-90.582713
PAST SALE,November-16-2022,Single Family Residential,16334 Peppermill Dr,Wildwood,MO,63005,535000,4,3.5,Brentmoor Place,4386,15198,1982,,122,33,Sold,,,https://www.redfin.com/MO/Wildwood/16334-Peppermill-Dr-63005/home/93506845,MARIS,22059552,N,Y,38.6133109,-90.6109985
PAST SALE,March-31-2022,Single Family Residential,18044 Babler Woods Rd,Wildwood,MO,63005,375000,4,2.5,Section 22-45-3,3000,152460,1973,,125,50,Sold,,,https://www.redfin.com/MO/Wildwood/18044-Babler-Woods-Rd-63005/home/93496405,MARIS,22005230,N,Y,38.6322679,-90.6738765
PAST SALE,May-12-2021,Single Family Residential,192 Brighthurst Dr,Chesterfield,MO,63005,459000,4,3.5,Chesterfield Farms Two,2853,7405,1994,,161,39,Sold,,,https://www.redfin.com/MO/Chesterfield/192-Brighthurst-Dr-63005/home/62759310,MARIS,21017413,N,Y,38.6623629,-90.5929032
PAST SALE,May-27-2021,Condo/Co-op,303 Shetland Valley Ct,Chesterfield,MO,63005,439000,2,2.5,Baxter Pointe Villas Three,2504,7841,1999,,175,330,Sold,,,https://www.redfin.com/MO/Chesterfield/303-Shetland-Valley-Ct-63005/home/62739419,MARIS,21021005,N,Y,38.6580164,-90.5813671
PAST SALE,August-21-2020,Single Family Residential,209 Woodcliffe Place Dr,Chesterfield,MO,63005,499000,4,4.5,Wildhorse Spings,3896,12197,1999,,128,15,Sold,,,https://www.redfin.com/MO/Chesterfield/209-Woodcliffe-Place-Dr-63005/home/87542677,MARIS,20047998,N,Y,38.6590605,-90.5927938
PAST SALE,October-17-2022,Single Family Residential,16655 Chesterfield Farms Dr,Chesterfield,MO,63005,450000,4,2.5,Chesterfield Farms One,1930,7405,1994,,233,,Sold,,,https://www.redfin.com/MO/Chesterfield/16655-Chesterfield-Farms-Dr-63005/home/93467335,MARIS,22055347,N,Y,38.6628066,-90.5850702
PAST SALE,September-14-2021,Single Family Residential,312 Cheval Square Dr,Chesterfield,MO,63005,475000,5,3.5,Chesterfield Farms,2637,7405,1993,,180,41,Sold,,,https://www.redfin.com/MO/Chesterfield/312-Cheval-Square-Dr-63005/home/93476617,MARIS,21055178,N,Y,38.6616722,-90.5834048
PAST SALE,October-26-2022,Single Family Residential,16234 Pepper View Ct,Wildwood,MO,63005,470000,4,2.5,Brentmoor Place,3600,15682,1982,,131,33,Sold,,,https://www.redfin.com/MO/Wildwood/16234-Pepper-View-Ct-63005/home/93507116,MARIS,22035622,N,Y,38.6152568,-90.6072245
PAST SALE,December-28-2020,Single Family Residential,16406 Wilson Farm,Chesterfield,MO,63005,535000,4,2.5,Wilson Farm Estates,2746,27007,1984,,195,29,Sold,,,https://www.redfin.com/MO/Chesterfield/16406-Wilson-Farm-Dr-63005/home/93484554,MARIS,20083917,N,Y,38.6354096,-90.5886373
PAST SALE,August-19-2019,Single Family Residential,21 Peppermill Ct,Wildwood,MO,63005,499900,5,3.0,Brentmoor Place 1,4345,21780,1982,,115,33,Sold,,,https://www.redfin.com/MO/Wildwood/21-Peppermill-Ct-63005/home/93506955,MARIS,19049447,N,Y,38.6132752,-90.6060221
