SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-15-2020,Vacant Land,19299 Puellman Rd,Wildwood,MO,63005,399900,,,Puellman,,303744,,,,,Sold,,,https://www.redfin.com/MO/Wildwood/19299-Puellman-Rd-63005/home/62770850,MARIS,20021725,N,Y,38.622144,-90.731973
PAST SALE,,Single Family Residential,16252 Windfall Ridge Ct,Chesterfield,MO,63005,,3,2.5,,2192,14375,1982,,,,Sold,,,https://www.redfin.com/MO/Chesterfield/16252-Windfall-Ridge-Dr-63005/home/84625972,MARIS,,N,Y,38.6335591,-90.5776369
PAST SALE,August-16-2022,Condo/Co-op,14300 Conway Meadows Ct #308,St Louis,MO,63005,325000,3,2.0,Conway Meadows,2400,,1982,,135,,Sold,,,https://www.redfin.com/MO/St-Louis/14300-Conway-Meadows-CT-63005/unit-308/home/183801006,MARIS,23002092,N,Y,38.6299452,-90.6962853
PAST SALE,February-7-2020,Single Family Residential,16853 Chesterfield Blfs,Chesterfield,MO,63005,438000,2,2.5,Villas At Chesterfield Bluffs One,1674,2614,1996,,262,465,Sold,,,https://www.redfin.com/MO/Chesterfield/16853-Chesterfield-Bluffs-Cir-63005/home/93467434,MARIS,20017928,N,Y,38.6637752,-90.5846435
PAST SALE,,Single Family Residential,2517 Pepperfield Ct,Wildwood,MO,63005,437000,3,3.0,,2014,21780,1984,,217,,,,,https://www.redfin.com/MO/Wildwood/2517-Pepperfield-Ct-63005/home/93507096,,,N,Y,38.6149667,-90.611794
PAST SALE,December-2-2020,Single Family Residential,17549 Wild Horse Creek Rd,Chesterfield,MO,63005,500000,4,2.0,Mary Schaeffer Estate,2382,118048,1978,,210,,Sold,,,https://www.redfin.com/MO/Chesterfield/17549-Wild-Horse-Creek-Rd-63005/home/93477352,MARIS,20087219,N,Y,38.6577779,-90.6316137
PAST SALE,March-18-2019,Single Family Residential,2626 Sun Meadow Dr,Wildwood,MO,63005,434900,4,2.5,Valley View 1,3408,20038,1979,,128,,Sold,,,https://www.redfin.com/MO/Wildwood/2626-Sun-Meadow-Dr-63005/home/93507003,MARIS,19006459,N,Y,38.611975,-90.5998255
PAST SALE,September-10-2020,Single Family Residential,2767 Quail Valley Dr,Wildwood,MO,63005,394900,5,3.0,Chesterfield Valley 1 A Sec Of,3680,15682,1983,,107,21,Sold,,,https://www.redfin.com/MO/Wildwood/2767-Quail-Valley-Dr-63005/home/93522204,MARIS,20056394,N,Y,38.6060874,-90.6009908
PAST SALE,June-12-2020,Condo/Co-op,872 Stone Meadow Dr,Chesterfield,MO,63005,375000,2,2.5,Stonehill Village,2462,3920,1999,,152,350,Sold,,,https://www.redfin.com/MO/Chesterfield/872-Stone-Meadow-Dr-63005/home/93626404,MARIS,20029675,N,Y,38.6513511,-90.5792558
PAST SALE,July-13-2021,Single Family Residential,16218 Wilson View Ests,Chesterfield,MO,63005,440000,5,4.0,Wilson View Estates,2344,12197,1986,,188,,Sold,,,https://www.redfin.com/MO/Chesterfield/16218-Wilson-View-Estates-Dr-63005/home/93495530,MARIS,21049542,N,Y,38.6310288,-90.5797628
PAST SALE,July-16-2019,Single Family Residential,235 Riesling Dr,Chesterfield,MO,63005,470000,4,3.0,Chesterfield Farms One,2745,13504,1994,,171,39,Sold,,,https://www.redfin.com/MO/Chesterfield/235-Riesling-Dr-63005/home/93476405,MARIS,19054717,N,Y,38.6601737,-90.588249
PAST SALE,June-12-2018,Single Family Residential,16258 Bent Tree Dr,Chesterfield,MO,63005,435500,4,2.5,Bent Tree 1,2366,12066,1982,,184,,Sold,,,https://www.redfin.com/MO/Chesterfield/16258-Bent-Tree-Dr-63005/home/93495509,MARIS,19002959,N,Y,38.6325267,-90.5792637
PAST SALE,April-27-2023,Condo/Co-op,734 Stone Meadow Dr,Chesterfield,MO,63005,449900,2,2.5,Stonehill Village B,2513,3049,2000,,179,36,Sold,,,https://www.redfin.com/MO/Chesterfield/734-Stone-Meadow-Dr-63005/home/93626402,MARIS,23003653,N,Y,38.6518111,-90.5795318
PAST SALE,November-5-2021,Vacant Land,1129 Breton Woods Ct,Wildwood,MO,63005,225000,,,Breton Woods,,68433,,,,125,Sold,,,https://www.redfin.com/MO/Wildwood/1129-Breton-Woods-Ct-63005/home/102403175,MARIS,21056567,N,Y,38.6288391,-90.6427676
PAST SALE,March-2-2021,Single Family Residential,16701 Chesterfield Farms,Chesterfield,MO,63005,455000,4,3.5,Chesterfield Farms One,2146,7841,,,212,,Sold,,,https://www.redfin.com/MO/Chesterfield/16701-Chesterfield-Farms-Dr-63005/home/93467329,MARIS,21011298,N,Y,38.6633365,-90.5861694
PAST SALE,August-14-2020,Single Family Residential,16232 Bear Branch Ct,Wildwood,MO,63005,360000,4,3.0,Chesterfield Valley 2 A Sec Of,3124,15682,1984,,115,,Sold,,,https://www.redfin.com/MO/Wildwood/16232-Bear-Branch-Ct-63005/home/93522235,MARIS,20050610,N,Y,38.6069017,-90.59805
PAST SALE,,Single Family Residential,867 Stone Meadow Dr,Chesterfield,MO,63005,405000,2,2.5,,2737,3485,1999,,148,,,,,https://www.redfin.com/MO/Chesterfield/867-Stone-Meadow-Dr-63005/home/93626482,,,N,Y,38.6511204,-90.5787055
PAST SALE,June-25-2018,Single Family Residential,15905 Craddock Way,Chesterfield,MO,63005,460000,4,2.5,Chesterfield Meadow One,2749,22651,1978,,167,30,Sold,,,https://www.redfin.com/MO/Chesterfield/15905-Craddock-Way-63005/home/93484609,MARIS,18051382,N,Y,38.6362069,-90.5765833
PAST SALE,,Single Family Residential,16611 Chesterfield Farms Dr,Chesterfield,MO,63005,420000,3,2.5,,2192,7405,1993,,192,,,,,https://www.redfin.com/MO/Chesterfield/16611-Chesterfield-Farms-Dr-63005/home/62757826,,,N,Y,38.6622498,-90.5825544
PAST SALE,November-29-2018,Single Family Residential,18060 Babler Woods Rd,Wildwood,MO,63005,425000,4,5.0,Babler Woods,2356,169448,1983,,180,,Sold,,,https://www.redfin.com/MO/Wildwood/18060-Babler-Woods-Rd-63005/home/62748121,MARIS,18092090,N,Y,38.6330525,-90.6763781
PAST SALE,October-6-2021,Single Family Residential,16214 Birchbrook,Wildwood,MO,63005,400000,4,2.5,Chesterfield Valley 1 A Sec Of,2329,23087,1983,,172,,Sold,,,https://www.redfin.com/MO/Wildwood/16214-Birchbrook-Ct-63005/home/93522151,MARIS,21062469,N,Y,38.6053349,-90.5998625
PAST SALE,November-8-2022,Vacant Land,16638 Dresser Hill Rd,Wildwood,MO,63005,89900,,,Dresser Hill,,141134,,,,,Sold,,,https://www.redfin.com/MO/Wildwood/16638-Dresser-Hill-Dr-63005/home/109603863,MARIS,22063454,N,Y,38.624068,-90.620948
PAST SALE,,Vacant Land,747 Spiceberry Ln,Wildwood,MO,63005,170000,,,,,143312,,,,,,,,https://www.redfin.com/MO/Wildwood/747-Spiceberry-Ln-63005/home/62779519,,,N,Y,38.633405,-90.70659
PAST SALE,December-17-2020,Vacant Land,825 Wild Horse Creek Rd,Wildwood,MO,63005,365000,,,Wildwood,,437342,,,,,Sold,,,https://www.redfin.com/MO/Wildwood/825-Wild-Horse-Creek-Rd-63005/home/62776649,MARIS,20089705,N,Y,38.6335544,-90.7097146
PAST SALE,September-30-2022,Single Family Residential,1400 Christmas Valley Dr,Wildwood,MO,63005,409000,3,1.5,Wildwood,1660,140655,1971,,246,6,Sold,,,https://www.redfin.com/MO/Wildwood/1400-Christmas-Valley-Dr-63005/home/93496123,MARIS,22058340,N,Y,38.6230806,-90.6387963
PAST SALE,August-4-2021,Vacant Land,1157 Breton Woods/tbb Oxford II Ct,Wildwood,MO,63005,225000,,,Breton Woods,,107680,,,,125,Sold,,,https://www.redfin.com/MO/Wildwood/1157-Breton-Woods-Ct-63005/home/102403174,MARIS,21049936,N,Y,38.6291336,-90.6412614
PAST SALE,February-28-2020,Single Family Residential,18052 Babler Woods Rd,Wildwood,MO,63005,450000,2,3.5,Bnd S Adam,2072,181645,1973,,217,,Sold,,,https://www.redfin.com/MO/Wildwood/18052-Babler-Woods-Rd-63005/home/93496407,MARIS,20012911,N,Y,38.632626,-90.675022
PAST SALE,August-18-2020,Single Family Residential,301 Cheval Square Dr,Chesterfield,MO,63005,450000,4,3.5,Chesterfield Farms,3428,7841,1994,,131,40,Sold,,,https://www.redfin.com/MO/Chesterfield/301-Cheval-Square-Dr-63005/home/93476524,MARIS,20033361,N,Y,38.6613878,-90.5841405
PAST SALE,July-25-2019,Condo/Co-op,391 Shetland Valley Ct,Chesterfield,MO,63005,355000,3,2.0,Baxter Pointe Villas One,1970,6098,2000,,180,330,Sold,,,https://www.redfin.com/MO/Chesterfield/391-Shetland-Valley-Ct-63005/home/93626717,MARIS,19045611,N,Y,38.6559258,-90.5816161
PAST SALE,November-24-2020,Single Family Residential,16260 Forest Mdws,Chesterfield,MO,63005,459900,5,3.5,Forest Meadows Three,3730,33106,1986,,123,,Sold,,,https://www.redfin.com/MO/Chesterfield/16260-Forest-Meadows-Dr-63005/home/93484691,MARIS,20076104,N,Y,38.6400742,-90.5732562
PAST SALE,November-5-2021,Single Family Residential,374 Oak Village Park Dr,Wildwood,MO,63040,310000,3,2.0,Villages at Cherry Hill/Oak Park Village,2716,,1986,,114,30,Sold,,,https://www.redfin.com/MO/Wildwood/374-Babler-Park-Dr-Unknown/home/182657161,MARIS,21070980,N,Y,38.6258831,-90.673321
PAST SALE,December-30-2021,Single Family Residential,737 Stone Mdw,Chesterfield,MO,63005,419900,3,3.0,Stonehill Village B,2717,3485,2002,,155,375,Sold,,,https://www.redfin.com/MO/Chesterfield/737-Stone-Meadow-Dr-63005/home/93626397,MARIS,21081419,N,Y,38.651884,-90.5800866
PAST SALE,February-28-2020,Single Family Residential,2130 Hickory Dr,Chesterfield,MO,63005,475000,4,2.5,Wilson Farm Estates,3894,24829,1985,,122,29,Sold,,,https://www.redfin.com/MO/Chesterfield/2130-Hickory-Dr-63005/home/93484403,MARIS,20004493,N,Y,38.6367829,-90.5925574
PAST SALE,October-20-2020,Single Family Residential,16171 Clayton Hollow Ln,Wildwood,MO,63005,475000,4,3.0,Clayton Hollow,3541,11326,2001,,134,29,Sold,,,https://www.redfin.com/MO/Wildwood/16171-Clayton-Hollow-Ln-63005/home/62753898,MARIS,20063993,N,Y,38.6064364,-90.5968479
PAST SALE,March-28-2019,Single Family Residential,16802 Meierling Ct,Chesterfield,MO,63005,449000,4,3.0,Chesterfield Farms,3236,8712,1994,,139,39,Sold,,,https://www.redfin.com/MO/Chesterfield/16802-Meierling-Ct-63005/home/93476538,MARIS,19010393,N,Y,38.6618329,-90.5902564
